proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
31.13.239.4:5678,31.13.239.4,5678,socks4,4218,61,socks4_fallback,2026-09-26T19:47:43Z,BG,elite,protocol,False,api,10,34,dbip,unknown,0,unknown,2026-09-24T12:06:12Z,unknown,hosting,Neterra-Princess Svilengrad-NET,34224,Neterra Ltd.,Sofia,Sofia (stolitsa),ip2proxy,scanner/spam,99.986,1582,fresh
213.149.154.213:5678,213.149.154.213,5678,socks4,4726,57,socks4_fallback,2026-09-26T19:35:11Z,BG,elite,protocol,False,api,12,6,dbip,unknown,0,unknown,2026-09-24T22:50:57Z,unknown,residential,UltraNET Ltd,199702,VIM TV LTD,Razlog,Blagoevgrad,geolite2,botnet/scanner,93.517,1578,fresh
213.149.156.87:5678,213.149.156.87,5678,socks4,4313,63,socks4_probe,2026-09-26T19:15:50Z,BG,elite,protocol,True,github_raw,12,9,dbip,unknown,0,unknown,2026-09-26T10:29:31Z,unknown,residential,UltraNET Ltd,199702,VIM TV LTD,Razlog,Blagoevgrad,geolite2,botnet/scanner/spam,92.906,1876,fresh
31.211.142.115:8192,31.211.142.115,8192,socks5,7756,54,socks5_probe,2026-09-26T19:15:54Z,BG,elite,protocol,True,api,18,5,dbip,unknown,0,unknown,2026-09-20T04:57:13Z,unknown,residential,Novatel Eood,197897,5KOM OOD,Pleven,Pleven,geolite2,botnet/scanner,90.34,1505,fresh
46.10.198.10:4153,46.10.198.10,4153,socks4,3151,63,socks4_probe,2026-09-26T19:47:44Z,BG,elite,protocol,True,github_raw,15,7,dbip,unknown,0,unknown,2026-09-26T11:56:30Z,unknown,wireless,Vivacom Bulgaria Ead,8866,Vivacom Bulgaria EAD,Sofia,Sofia-Capital,geolite2,scanner,86.169,1774,fresh
77.238.79.111:5678,77.238.79.111,5678,socks4,6289,52,socks4_probe,2026-09-26T18:49:51Z,BG,elite,protocol,True,api,11,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-20T10:40:37Z,exit,residential,Fiber 1 Ltd.,39135,Fiber 1 Ltd.,Sofia,Sofia-Capital,geolite2,botnet/scanner,77.161,739,fresh
109.160.97.49:4145,109.160.97.49,4145,socks4,6128,52,socks4_probe,2026-09-26T19:15:52Z,BG,elite,protocol,True,github_raw,16,0,dbip,unknown,0,unknown,2026-09-21T23:02:00Z,unknown,hosting,Global Communication Net Plc,205352,Kabelnet Ltd,Sofia,Sofia (stolitsa),ip2proxy,botnet/scanner,69.577,1439,fresh
151.237.84.9:8080,151.237.84.9,8080,https,4991,53,https_connect_probe,2026-09-26T19:47:35Z,BG,elite,protocol,True,github_raw,3,4,dbip,unknown,0,unknown,2026-09-26T13:21:18Z,unknown,residential,Sonicom OOD,48233,Netroniks EOOD,Sofia,Sofia (stolitsa),ip2proxy,none,68.914,1769,fresh
94.72.158.129:4153,94.72.158.129,4153,socks4,1701,62,socks4_probe,2026-09-26T19:35:11Z,BG,elite,protocol,True,github_raw,12,1,dbip,unknown,0,unknown,2026-09-26T08:38:40Z,unknown,residential,,57344,Telehouse EAD,,,unknown,unknown,64.818,1117,fresh
212.5.132.74:5678,212.5.132.74,5678,socks4,1552,62,socks4_fallback,2026-09-26T19:29:16Z,BG,elite,protocol,False,github_raw,12,2,dbip,unknown,0,unknown,2026-09-26T18:02:23Z,unknown,wireless,Vivacom Bulgaria Ead,8866,Vivacom Bulgaria EAD,Sofia,Sofia-Capital,geolite2,botnet/scanner/spam,53.869,1477,fresh
88.213.214.254:4145,88.213.214.254,4145,socks4,1597,61,socks4_fallback,2026-09-26T19:47:44Z,BG,elite,protocol,False,api,13,2,dbip,unknown,0,unknown,2026-09-21T00:45:19Z,unknown,unknown,,61071,NETBOX LTD,,,unknown,unknown,52.44,1498,fresh
213.169.52.101:8185,213.169.52.101,8185,https,2991,54,https_fallback,2026-09-26T18:24:11Z,BG,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-26T13:21:18Z,unknown,wireless,A1 Bulgaria EAD,42086,RO&NI EOOD,Shumen,Shumen,geolite2,none,25.674,1958,fresh
213.169.33.8:8001,213.169.33.8,8001,https,6647,48,https_connect_probe,2026-09-26T18:50:29Z,BG,elite,protocol,True,github_raw,3,0,dbip,unknown,0,unknown,2026-09-26T07:56:08Z,unknown,wireless,A1 Bulgaria EAD,8717,A1 Bulgaria EAD,Sofia,Sofia (stolitsa),ip2proxy,none,11.857,568,fresh
