proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
193.17.183.188:80,193.17.183.188,80,http,523,68,http_fallback,2026-09-26T19:15:39Z,ES,unknown,unknown,False,active_scan,1,130,dbip,unknown,0,unknown,2026-09-19T23:33:12Z,unknown,residential,,400992,ZhouyiSat Communications,Ponferrada,Castille and León,geolite2,unknown,99.998,200,fresh
83.56.15.57:5678,83.56.15.57,5678,socks4,4067,62,socks4_probe,2026-09-26T19:35:10Z,ES,elite,protocol,True,github_raw,16,8,dbip,likely_residential,70,ip2proxy_lite,2026-09-21T10:08:30Z,exit,residential,Telefonica de Espana Sau,3352,Telefonica De Espana S.a.u.,Ronda,Andalucia,ip2proxy,scanner/spam,96.604,1800,fresh
90.161.220.67:3128,90.161.220.67,3128,https,9536,47,https_fallback,2026-09-26T19:47:38Z,ES,elite,protocol,True,github_raw,3,3,dbip,unknown,0,unknown,2026-09-21T09:25:33Z,unknown,wireless,Orange Espagne SA,12479,Orange Espagne SA,Conil de la Frontera,Andalucia,ip2proxy,none,71.81,1007,fresh
81.0.49.104:18500,81.0.49.104,18500,socks5,2563,59,socks5_probe,2026-09-26T19:15:54Z,ES,elite,protocol,True,api,17,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:29:31Z,exit,residential,WWW Ibercom Net,15704,Xtra Telecom S.A.,Madrid,"Madrid, Comunidad de",ip2proxy,scanner,63.458,1998,fresh
91.126.244.112:8080,91.126.244.112,8080,https,8055,50,https_connect_probe,2026-09-26T19:35:08Z,ES,elite,protocol,True,github_raw,5,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T10:07:30Z,exit,residential,Adamo Telecom Iberia S.A.,35699,Adamo Telecom Iberia S.A.,Sant Fost de Campsentelles,Catalonia,geolite2,scanner,62.994,1880,fresh
193.38.224.169:8081,193.38.224.169,8081,https,4428,57,https_connect_probe,2026-09-26T19:41:09Z,ES,elite,protocol,True,github_raw,7,4,dbip,unknown,0,unknown,2026-09-21T02:52:29Z,unknown,wireless,Citelia S.A,206276,Citelia s.a.,Madrid,Madrid,geolite2,none,61.96,1504,fresh
2.139.41.14:3128,2.139.41.14,3128,http,1693,52,http_fallback,2026-09-26T19:02:54Z,ES,transparent,headers,False,github_raw,19,0,dbip,likely_residential,70,ip2proxy_lite,2026-09-26T05:47:30Z,exit,residential,Telefonica de Espana Sau,3352,Telefonica De Espana S.a.u.,Madrid,Madrid,geolite2,none,60.178,309,fresh
195.114.209.50:80,195.114.209.50,80,http,5341,53,http_fallback,2026-09-26T19:34:59Z,ES,elite,headers,False,github_raw,20,3,dbip,unknown,0,unknown,2026-09-20T23:37:38Z,unknown,business,Gigas Hosting S.A.,57286,Gigas Hosting S.A.,Madrid,"Madrid, Comunidad de",ip2proxy,botnet/scanner,59.071,1026,fresh
95.60.60.204:3128,95.60.60.204,3128,https,3876,55,https_fallback,2026-09-26T19:29:12Z,ES,elite,protocol,True,github_raw,5,2,dbip,likely_residential,70,ip2proxy_lite,2026-09-21T09:03:17Z,exit,residential,Vodafone Espana S.A.U.,12430,Vodafone Spain,Zubia,Andalusia,geolite2,scanner,58.914,1830,fresh
185.130.219.10:4153,185.130.219.10,4153,socks4,4643,52,socks4_fallback,2026-09-26T19:35:10Z,ES,elite,protocol,False,api,9,1,dbip,unknown,0,unknown,2026-09-26T16:16:09Z,unknown,residential,Suis Boga Telecom SL,56697,Suis Boga Telecom Sl,Javea,Valencia,geolite2,scanner,55.025,1421,fresh
185.130.219.12:4153,185.130.219.12,4153,socks4,3119,57,socks4_probe,2026-09-26T19:29:13Z,ES,elite,protocol,True,api,9,0,dbip,unknown,0,unknown,2026-09-26T16:16:09Z,unknown,residential,Suis Boga Telecom SL,56697,Suis Boga Telecom Sl,Javea,Valencia,geolite2,scanner,34.513,1150,fresh
85.85.187.31:8080,85.85.187.31,8080,https,4191,52,https_connect_probe,2026-09-26T19:41:47Z,ES,elite,protocol,True,github_raw,3,1,dbip,likely_residential,70,ip2proxy_lite,2026-09-20T01:43:38Z,exit,residential,Euskaltel S.A.,15704,Xtra Telecom S.A.,Mollet del Vallès,Catalonia,geolite2,scanner,32.707,1281,fresh
85.117.248.36:1080,85.117.248.36,1080,socks5,9209,47,socks5_fallback,2026-09-26T19:29:17Z,ES,elite,protocol,False,github_raw,17,0,dbip,unknown,0,unknown,2026-09-21T13:00:11Z,unknown,residential,Connecta 1876 SLU,210086,Connecta 1876 Slu,Sant Joan les Fonts,Catalonia,geolite2,scanner,30.774,1625,fresh
80.78.128.94:8080,80.78.128.94,8080,https,3437,55,https_connect_probe,2026-09-26T19:48:17Z,ES,elite,protocol,True,github_raw,5,1,dbip,unknown,0,unknown,2026-09-26T12:19:03Z,unknown,residential,Cloudwifi SL,202913,"Cloudwifi, Sl",Finestrat,Valencia,geolite2,spam,25.262,1915,fresh
